!ほならね
!出典 http://fpsunknown.com/archives/17145
はまさき	まぁーのびハザ怖くないをクリアしました。はい。クリアしました。（パチパチ）	感動詞	 - syamu_game
はまさき	ほんで、まぁ最近からちょっと動画のサムネ、変わってると思いますけども！、ええ。	感動詞	 - syamu_game
はまさき	ほんでまぁ、ｽｩｩｩ、のびハザ怖くないの最終パートでね、ちょっとコメントがあったんですけども。	感動詞	 - syamu_game
はまさき	サムネがつまんないというコメントがありました。	感動詞	 - syamu_game
はまさき	いやー、ほならね、自分が作ってみろって話でしょ？	感動詞	 - syamu_game
はまさき	私はそう言いたいけどね。	感動詞	 - syamu_game
はまさき	こっちは！こっちはみんなを楽しませるために動画のサムネを作っているわけでして、	感動詞	 - syamu_game
はまさき	やっぱり、前はちょっとサムネ、シンプルだったのですが、	感動詞	 - syamu_game
はまさき	いや、ちょっとサムネやっぱ凝ったサムネがいいかなぁーと思ってまぁサムネ作り始めたわけですけども、	感動詞	 - syamu_game
はまさき	そんなサムネつまんないと言わ、とか言われたら、じゃあお前が作れって話でしょ、だと思いますけどね、ええ。	感動詞	 - syamu_game
はまさき	結構、サムネ作るのは大変だと思いますよ。	感動詞	 - syamu_game
はまさき	サムネの構図、から考えなアカンし、つまんないというんだったら自分が作ってみろ！っていう話でしょ？	感動詞	 - syamu_game
はまさき	私はそう言いたい。うん……。	感動詞	 - syamu_game
はまさき	こっちは、楽しんでやってるわけですから、そんなつまんないとか言われちゃったら、	感動詞	 - syamu_game
はまさき	じゃあ自分がやってみれば？っていう話で、だと思いますけどね、ええ。	感動詞	 - syamu_game
はまさき	私はそう言いたいですけども。	感動詞	 - syamu_game
はまさき	いや俺もユーチューバーやけどさ、ユーチューバーというのは、	感動詞	 - syamu_game
はまさき	あのYoutubeで動画投稿してる人のことをユーチューバーといいますｩｩ。はい。	感動詞	 - syamu_game
はまさき	んー、まぁせっかく俺もねぇ、ここまで来たわけやから、ｽｩｩｩ、そりゃあ続けていきたいけどね。	感動詞	 - syamu_game
はまさき	Youtubeでの活動、うん、活動続けていきたいけどさぁ、ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	まぁ、そりゃ俺を、俺の人気に嫉妬したり、妬んだりしている人はやっぱおると思うし、	感動詞	 - syamu_game
はまさき	そこはしょうがないといえばしょうがないんやけども、ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	んー、まぁ実際俺のファンも、大勢いると思いますけども、ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	そのー、キライ、俺を嫌いな人と、えー俺が好きな人？、との共存？が難しいなぁと思えば難しい。	感動詞	 - syamu_game
はまさき	どっこいどっこい、ですね、どっこいどっこい	感動詞	 - syamu_game
はまさき	もちろん俺もアンチの人達と、仲良くしたいんだけども、難しい。	感動詞	 - syamu_game
はまさき	なかなかそーはいかんよね。なかなか難しいよね。	感動詞	 - syamu_game
はまさき	アンチの人達と仲良くしたいと思っても、向こうは俺を嫌ってるわけやから。なかなか和解は、和解は難しいよね。うん。	感動詞	 - syamu_game
はまさき	まぁ、ｽｩｩｩ、まぁなんて言うんだろ。	感動詞	 - syamu_game
はまさき	仲良くする、アンチの人達と仲良くするには、やさ、彼らに優しく語りかけるしかないよね、動画で。	感動詞	 - syamu_game
はまさき	彼らにね、やさしく、やさーしく語りかけるしかないよね、動画で。ｽｩｩｩ！	感動詞	 - syamu_game
はまさき	まぁそこが難しいといえば難しいねー。うーん。	感動詞	 - syamu_game
はまさき	今年で、わたしくしも、私はYoutubeで活動始めてから、10月で4年になろうとしていますけども。	感動詞	 - syamu_game
はまさき	ほんまここまでよく来たと思ってますよ。ええ。ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	まぁ、登録したばかりの頃はまぁ当然、登録者もいませんでしたし、100人もいってませんでした。	感動詞	 - syamu_game
はまさき	登録して1年は、1年、1年ぐらいはもちろん登録者100人いってませんでしたね。はい。100いってませんでした。	感動詞	 - syamu_game
はまさき	（サー）暗かった。暗いな。ちょっと明るくするか。ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	さぁちょっとカーテン開けました。はい。暗かったね。暗かったね画面が。ﾊｲﾊｲﾊｲ。ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	さぁ、まーなんていうんでしょうか。	感動詞	 - syamu_game
はまさき	仲良くやっていきましょうではありませんか。はい。	感動詞	 - syamu_game
はまさき	まぁ確かに？、確かにサムネ、はさー、つまんないっていいたくなるのは分かるか、分かるけどさー。	感動詞	 - syamu_game
はまさき	「このサムネつまんねぇ！」って、いいたい気持ちは分かるけど。	感動詞	 - syamu_game
はまさき	抑えることも、大事やで、気持ちを抑えることも。	感動詞	 - syamu_game
はまさき	言いたくても！抑えること、が大事やで。	感動詞	 - syamu_game
はまさき	グッと！抑えることも大事やで。	感動詞	 - syamu_game
はまさき	それが大人への一歩やで。ええ。	感動詞	 - syamu_game
はまさき	大人っていうのはそんなこと、たとえサムネがつまんないと思っててもいう、いい、言わないからね、大人ってのは。はい。	感動詞	 - syamu_game
はまさき	我慢ですよ、我慢、我慢！	感動詞	 - syamu_game
はまさき	時には我慢！	感動詞	 - syamu_game
はまさき	これは大事です。ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	確かに俺は、Youtubeに出会って、まぁ少しずつやけど、Youtubeの楽しさ、に触れてきたし！ ｽｩｩｩ。	感動詞	 - syamu_game
はまさき	今後もYoutubeでやってきたいと思ってるしYoutube一本でやってきたいと思ってるし！	感動詞	 - syamu_game
