!オフ会0人
!出典 http://fpsunknown.com/archives/16670
はまさき	オイイイイイイイッッッッス。どうも、シャムでーす。	感動詞	 - syamu_game
!はまさき	ウイイイイイイイッッッッス。どうも、シャムでーす。	感動詞	 - syamu_game
はまさき	まぁ今日はオフ会、当日ですけども。	感動詞	 - syamu_game
はまさき	えーとですね、まぁ集合場所の、えーイオンシネマに行ってきたんですけども、ただいまの時刻は1時を回りました。	感動詞	 - syamu_game
はまさき	はい、ちょっと遅れて来たんですけどもね。えー11時ちょっとすぎくらいに、えーイオンシネマに行ったんですけども。	感動詞	 - syamu_game
はまさき	ほんでーまぁイオンシネマの全体の動画を撮った後に行ったんですけども。スィー。	感動詞	 - syamu_game
はまさき	ほんでーかれこれまぁ2時間くらい、えー待ったんですけども参加者は誰一人来ませんでした。ガチャ。	感動詞	 - syamu_game
はまさき	誰一人来ることなかったですぅ。残念ながら。はい。	感動詞	 - syamu_game
はまさき	一人くらい来るやろうなーと思ってたんですけども、スゥー、結局2時間くらい待っても誰一人来ませんでしたね、えぇ。	感動詞	 - syamu_game
はまさき	でもね、でもオフ会のお知らせの動画にちらほらコメントあったんですけどもね。えー参加者の方の。	感動詞	 - syamu_game
はまさき	なんだろう。なんで来なかったんでしょうかねー。	感動詞	 - syamu_game
はまさき	まぁーもう一時間くらい待とうと思ったんですけども今日はね、えーまぁみんなとお昼ごはん食べるつもりだったし、	感動詞	 - syamu_game
はまさき	あっ夜ご飯もみんなと一緒に食べようかなと思ってたんで今日は朝、パン一枚でございます。	感動詞	 - syamu_game
はまさき	今日の朝食はパン一枚！	感動詞	 - syamu_game
はまさき	のでもう1時間待とうと思ったけどさすがにちょっと腹ペコなんで、	感動詞	 - syamu_game
はまさき	えー今回のオフ会は残念ながら、こういう悲しい結果で終わりですね。	感動詞	 - syamu_game
はまさき	たぶんねぇあのまま待っててももう誰も来んかなぁと思ってたし、スィー、	感動詞	 - syamu_game
はまさき	かといっても誰も来る気配なかったんで、カチッ、もうこれアカンなぁと思って、	感動詞	 - syamu_game
はまさき	えーいま車に戻って、えー動画を撮影しております。	感動詞	 - syamu_game
はまさき	なんだろうなぁー。情報が足りんかったんかなぁー。	感動詞	 - syamu_game
はまさき	でもちゃんと載せて、載せて、載せたつもりなんですけどもねぇー。カチッ。	感動詞	 - syamu_game
はまさき	イオンシネマのーURLも載せたし、でー駅探で新大阪から垂井までの駅探の情報も載せていたんですけど	感動詞	 - syamu_game
はまさき	一体なにが足りんかったんでしょうかねぇー。	感動詞	 - syamu_game
はまさき	あのねー、まぁイオンシネマで一人でずーっと待ってたわけですよ。	感動詞	 - syamu_game
